NAME,fuelType,min_price,max_price,avg_price,med_price
ALFA ROMEO GIULIA,Diesel,56000,66500,61333.333333333336,61500.0
ALFA ROMEO JUNIOR,Strom,39500.0,48500.0,43750.0,43500.0
ALFA ROMEO JUNIOR,Super,30450.0,40000.0,35480.0,36500.0
ALFA ROMEO STELVIO,Diesel,60600,71100,65933.33333333333,66100.0
ALFA ROMEO TONALE,Diesel,40800.0,51300.0,46133.333333333336,46300.0
ALFA ROMEO TONALE,Super,42300.0,52800.0,47633.333333333336,47800.0
ALFA ROMEO TONALE,Super / Strom,51600.0,62100.0,56933.333333333336,57100.0
ALPINE A110,Super,64450,330000,152633.33333333334,90450.0
ALPINE A290,Strom,38700,46200,42640.0,41900.0
AUDI A1,Super,22950,33050,26905.0,26300.0
AUDI A3,Diesel,34400.0,41900.0,38400.0,39200.0
AUDI A3,Super,31300.0,43350.0,36193.54838709677,35450.0
AUDI A3,Super / Strom,44200.0,47700.0,45870.0,46000.0
AUDI A3,Super Plus,55600.0,68000.0,61500.0,61200.0
AUDI A4,Diesel,35900.0,68850.0,49162.09649122807,49325.0
AUDI A4,Erdgas / Super,43200.0,48950.0,46008.333333333336,46075.0
AUDI A4,Super,33240.0,56150.0,45831.74698795181,46700.0
AUDI A4,Super Plus,79933.0,142905.0,99459.5,87500.0
AUDI A5,Diesel,54200.0,66140.0,60170.0,60170.0
AUDI A5,Super,45200.0,81660.0,61503.75,57970.0
AUDI A5,Super / Strom,62500.0,80490.0,71495.0,71495.0
AUDI A6,Diesel,59300.0,73420.0,66360.0,66360.0
AUDI A6,Strom,62800.0,116795.0,96556.875,100262.5
AUDI A6,Super,55500.0,81370.0,68435.0,68435.0
AUDI A6,Super / Strom,65800.0,81950.0,74882.5,75890.0
AUDI A7,Diesel,57454.0,91100.0,68258.47619047618,66200.0
AUDI A7,Super,57844.0,76500.0,65954.2,67200.0
AUDI A7,Super / Strom,66188.0,84350.0,74379.16666666667,74993.5
AUDI A7,Super Plus,119412.0,138500.0,130482.4,131500.0
AUDI A8,Diesel,90600.0,118583.0,101707.375,99475.0
AUDI A8,Super,93336.0,112050.0,101477.42857142857,99650.0
AUDI A8,Super / Strom,104010.0,124450.0,111891.5,109575.0
AUDI A8,Super Plus,114197.0,157350.0,132750.76923076922,129550.0
AUDI E-TRON GT,Strom,108900,160500,135725.0,136750.0
AUDI Q2,Diesel,32400.0,42250.0,37883.333333333336,39000.0
AUDI Q2,Super,29000.0,41400.0,34708.333333333336,34150.0
AUDI Q2,Super Plus,50900.0,50900.0,50900.0,50900.0
AUDI Q3,Diesel,46900.0,48750.0,47825.0,47825.0
AUDI Q3,Super,44600.0,61750.0,52825.0,52125.0
AUDI Q3,Super / Strom,49300.0,51150.0,50225.0,50225.0
AUDI Q4,Strom,46150,68570,57176.42857142857,57275.0
AUDI Q5,Diesel,57100.0,73190.0,67313.33333333333,70545.0
AUDI Q5,Super,52300.0,92080.0,72183.33333333333,69245.0
AUDI Q5,Super / Strom,63400.0,81640.0,75543.33333333333,77535.0
AUDI Q6,Strom,63500,107200,86058.33333333333,85900.0
AUDI Q7,Diesel,80900.0,89120.0,85010.0,85010.0
AUDI Q7,Super,84000.0,89220.0,86485.0,86360.0
AUDI Q7,Super / Strom,87300.0,97800.0,92033.33333333333,91000.0
AUDI Q7,Super Plus,114000.0,115520.0,114760.0,114760.0
AUDI Q8,Diesel,88400.0,91400.0,89900.0,89900.0
AUDI Q8,Super,91500.0,91500.0,91500.0,91500.0
AUDI Q8,Super / Strom,94700.0,105000.0,99850.0,99850.0
AUDI Q8,Super Plus,121500.0,158200.0,141366.66666666666,144400.0
BMW 1ER,Diesel,38900.0,48150.0,43000.0,42475.0
BMW 1ER,Super Plus,33600.0,59600.0,44171.42857142857,43375.0
BMW 2ER,Diesel,42100.0,54800.0,47584.21052631579,46000.0
BMW 2ER,Super Plus,36200.0,115000.0,50534.72222222222,47700.0
BMW 2ER,Super Plus / Strom,48500.0,56000.0,52375.0,52250.0
BMW 3ER,Diesel,51100.0,77900.0,62927.692307692305,62295.0
BMW 3ER,Strom,37550.0,48100.0,42400.0,41875.0
BMW 3ER,Strom / Super Plus,42150.0,45750.0,43950.0,43950.0
BMW 3ER,Super Plus,46600.0,152900.0,69637.66666666667,61235.0
BMW 3ER,Super Plus / Strom,62700.0,72170.0,67596.66666666667,67820.0
BMW 4ER,Diesel,56100.0,87900.0,68657.85714285714,66720.0
BMW 4ER,Strom,57600.0,72900.0,65524.444444444445,65020.0
BMW 4ER,Super Plus,53300.0,112700.0,73688.92857142857,69820.0
BMW 5ER,Diesel,61600.0,79200.0,70233.33333333333,70100.0
BMW 5ER,Strom,70200.0,101500.0,80142.85714285714,77600.0
BMW 5ER,Super Plus,59300.0,67400.0,63900.0,64750.0
BMW 5ER,Super Plus / Strom,65900.0,146400.0,81760.0,74050.0
BMW 7ER,Diesel,118400.0,129300.0,124433.33333333333,125600.0
BMW 7ER,Strom,115700.0,183150.0,146043.75,143500.0
BMW 7ER,Super Plus / Strom,126500.0,148750.0,138830.0,137400.0
BMW 8ER,Diesel,110500.0,124200.0,116583.33333333333,115050.0
BMW 8ER,Super Plus,105000.0,193400.0,129811.11111111111,117350.0
BMW IX,Strom,83500,124900,100471.42857142857,99900.0
BMW X1,Diesel,47200.0,61890.0,53534.375,53450.0
BMW X1,Strom,48800.0,63690.0,55947.5,56245.0
BMW X1,Super Plus,44600.0,64800.0,52475.38461538462,50600.0
BMW X1,Super Plus / Strom,51000.0,61290.0,55847.5,55550.0
BMW X2,Diesel,48700.0,58450.0,53628.88888888889,53800.0
BMW X2,Strom,50300.0,63960.0,57435.0,57225.0
BMW X2,Super Plus,48100.0,68760.0,58004.0,54660.0
BMW X3,Diesel,62300.0,77930.0,70160.0,70115.0
BMW X3,Strom,68900.0,75400.0,72333.33333333333,72700.0
BMW X3,Super Plus,59800.0,84500.0,68832.5,65515.0
BMW X3,Super Plus / Strom,66400.0,73230.0,69743.33333333333,69600.0
BMW X4,Diesel,63000.0,83300.0,71860.0,70600.0
BMW X4,Super Plus,60500.0,108500.0,76166.66666666667,70200.0
BMW X5,Diesel,89900.0,103250.0,96933.33333333333,96575.0
BMW X5,Super Plus,94600.0,167400.0,116310.0,101250.0
BMW X5,Super Plus / Strom,97300.0,102850.0,100383.33333333333,101000.0
BMW X6,Diesel,97500.0,106450.0,101975.0,101975.0
BMW X6,Super Plus,102200.0,170800.0,125037.5,113575.0
BMW X7,Diesel,107900.0,115250.0,112083.33333333333,113100.0
BMW X7,Super Plus,105900.0,137100.0,116837.5,112175.0
BMW XM,Super Plus,133800,183400,158600.0,158600.0
BMW Z4,Super Plus,50700,76200,60271.42857142857,56150.0
BMW i3,Strom,37550.0,48100.0,42400.0,41875.0
BMW i3,Strom / Super Plus,42150.0,45750.0,43950.0,43950.0
BMW i4,Strom,57600,72900,65524.444444444445,65020.0
BMW i5,Strom,70200,101500,80142.85714285714,77600.0
BMW i7,Strom,115700,183150,146043.75,143500.0
BMW iX1,Strom,48800,63690,55947.5,56245.0
BMW iX2,Strom,50300,63960,57435.0,57225.0
BMW iX3,Strom,68900,75400,72333.33333333333,72700.0
BYD ATTO 2,Strom,31990,34990,33490.0,33490.0
