Vehicle Type,Krafträder,Krafträder,Krafträder,Krafträder,Krafträder,Krafträder,Krafträder,Personenkraftwagen,Personenkraftwagen,Personenkraftwagen,Personenkraftwagen,Personenkraftwagen,Personenkraftwagen,Personenkraftwagen,Kraftomnibusse,Kraftomnibusse,Kraftomnibusse,Kraftomnibusse,Kraftomnibusse,Kraftomnibusse,Kraftomnibusse,Lastkraftwagen,Lastkraftwagen,Lastkraftwagen,Lastkraftwagen,Lastkraftwagen,Lastkraftwagen,Lastkraftwagen,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Zugmaschinen insgesamt,Sattelzugmaschinen,Sattelzugmaschinen,Sattelzugmaschinen,Sattelzugmaschinen,Sattelzugmaschinen,Sattelzugmaschinen,Sattelzugmaschinen,Sonstige Kfz,Sonstige Kfz,Sonstige Kfz,Sonstige Kfz,Sonstige Kfz,Sonstige Kfz,Sonstige Kfz
Power Type,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE,ICE,BEV,FCEV,PHEV,HEV,CNG,HCE
2021-01-01,2924,119,0,0,0,0,0,107383,16315,8,20588,24861,599,0,371,30,1,0,55,1,0,18475,798,0,8,84,151,0,6068,5,0,0,0,200,0,2470,1,0,0,0,200,0,1271,12,0,1,32,14,0
2021-02-01,10452,175,0,0,0,0,0,122676,18278,28,21879,30825,663,0,234,18,0,0,140,0,1,22198,782,0,6,69,242,0,6730,2,0,0,0,153,0,2099,0,0,0,0,153,0,1532,17,0,2,99,1,0
2021-03-01,27716,448,0,1,1,0,0,179704,30101,79,35580,45640,1245,0,265,25,0,0,125,7,0,30279,976,1,97,105,282,0,10456,13,0,0,0,163,0,3244,0,0,0,0,163,0,2035,7,1,2,121,8,0
2021-04-01,23335,387,0,0,1,1,0,140278,23816,35,26988,37106,1427,0,318,22,0,0,67,3,0,24901,913,0,47,67,256,0,8443,12,0,0,0,146,0,2660,0,0,0,0,146,0,1614,15,3,0,98,2,0
2021-05-01,22973,312,0,0,2,0,0,138315,26786,33,27222,37145,1134,0,230,69,0,0,72,8,0,24442,1112,0,12,80,249,0,7071,5,0,0,1,127,0,2122,0,0,0,1,127,0,1597,10,0,3,54,2,0
2021-06-01,27250,489,0,0,1,0,0,162982,33420,37,31314,45250,1149,0,421,35,0,0,101,7,0,27752,1599,0,32,71,260,0,7773,4,0,0,2,110,0,2256,0,0,0,2,110,0,1986,12,6,7,54,3,0
2021-07-01,23477,476,0,1,1,0,0,139836,25464,38,30154,39641,1260,0,409,50,0,0,109,1,0,22406,1070,0,15,62,224,0,7684,14,0,0,1,65,0,2192,0,0,0,0,64,0,2134,21,6,2,45,4,0
2021-08-01,18881,427,0,0,1,0,0,102770,28860,47,24497,36223,910,0,361,54,2,0,97,0,1,20588,918,0,14,47,220,0,6528,3,0,0,3,36,0,1868,0,0,0,2,34,0,1521,16,3,2,47,4,0
2021-09-01,15292,414,0,0,0,1,1,102005,33655,57,22842,37317,1096,0,271,73,1,0,78,0,0,20596,984,0,6,66,231,0,6479,9,0,0,3,55,0,2045,1,0,0,3,55,0,1607,15,0,3,33,11,0
