NAME,fuelType,registrations,min_price,max_price,avg_price,med_price,frac_bev_nearby,frac_ice_nearby,frac_phev_nearby,frac_other_nearby,frac_nearby,frac_nearby_jittered
DACIA SPRING,BEV,315,16900.0,19900.0,18400.0,18400.0,0.10967472894078399,0.890325271059216,0.0,0.0,0.10967472894078399,0.10763054817922779
FIAT 500,BEV,928,24990.0,37990.0,31061.428571428572,30990.0,0.08912135437844232,0.9042496827215712,0.006628962899986446,0.0,0.08912135437844232,0.10102329370942369
FIAT PANDA,ICE,84,18990.0,24990.0,21823.333333333332,21490.0,0.07145379954899883,0.9285462004510011,0.0,0.0,0.9285462004510011,0.9439019985602448
HYUNDAI I 10,ICE,1193,16990.0,22190.0,19838.75,19575.0,0.08409003708914184,0.9159099629108581,0.0,0.0,0.9159099629108581,0.9209428949009404
KIA PICANTO,ICE,736,17850.0,22550.0,20250.0,20550.0,0.07604672681008559,0.9239532731899144,0.0,0.0,0.9239532731899144,0.9028091934444222
LEAPMOTOR T03,BEV,606,18900.0,18900.0,18900.0,18900.0,0.10613397901533494,0.893866020984665,0.0,0.0,0.10613397901533494,0.10052892521695692
TOYOTA AYGO,ICE,1240,18090.0,25790.0,21610.0,21180.0,0.07232029918055326,0.9276797008194467,0.0,0.0,0.9276797008194467,0.898429028238402
ALPINE A290,BEV,75,38700.0,46200.0,42640.0,41900.0,0.18786969101484197,0.7429468632427148,0.06918344574244324,0.0,0.18786969101484197,0.19831743042180144
AUDI A1,ICE,1058,22950.0,33050.0,26905.0,26300.0,0.12250114103149247,0.8774988589685075,0.0,0.0,0.8774988589685075,0.8885951553484247
BYD DOLPHIN SURF,BEV,136,22990.0,30990.0,26990.0,26990.0,0.12012173290368779,0.8798782670963122,0.0,0.0,0.12012173290368779,0.12463236550246266
CITROEN C3,BEV,553,19990.0,32890.0,26705.416666666668,26811.0,0.12073991434843633,0.8792600856515637,0.0,0.0,0.12073991434843633,0.1103470637801737
CITROEN C3,ICE,930,15990.0,27590.0,21772.222222222223,21100.0,0.07232029918055326,0.9276797008194467,0.0,0.0,0.9276797008194467,0.9587832751757551
DS 3,ICE,1,33190.0,38990.0,35790.0,35190.0,0.15470044043579964,0.8123195582997914,0.032980001264409,0.0,0.8123195582997914,0.8447080111282059
FIAT GRANDE PANDA,BEV,145,24990.0,27990.0,26490.0,26490.0,0.12250114103149247,0.8774988589685075,0.0,0.0,0.12250114103149247,0.11626517952944873
FIAT GRANDE PANDA,ICE,111,18990.0,24990.0,21823.333333333332,21490.0,0.07145379954899883,0.9285462004510011,0.0,0.0,0.9285462004510011,0.9074860316861564
FORD PUMA,BEV,345,36900.0,42400.0,39566.666666666664,39400.0,0.16345235822035517,0.7736148658834407,0.06293277589620414,0.0,0.16345235822035517,0.15483030087446162
FORD PUMA,ICE,1036,28900.0,40950.0,34296.153846153844,33750.0,0.10764964932311205,0.8632360137008644,0.02911433697602349,0.0,0.8632360137008644,0.843713382045699
HONDA JAZZ,ICE,114,26950.0,31100.0,29462.5,29900.0,0.09478590408154376,0.903137750286768,0.002076345631688229,0.0,0.903137750286768,0.9059512698398503
HYUNDAI I 20,ICE,597,20300.0,28000.0,24875.0,25650.0,0.11933264040715387,0.8806673595928461,0.0,0.0,0.8806673595928461,0.8745020987307953
HYUNDAI INSTER,BEV,875,23900.0,30100.0,26966.666666666668,26650.0,0.12250114103149247,0.8774988589685075,0.0,0.0,0.12250114103149247,0.11797537095707149
MAZDA 2,ICE,358,28640.0,42890.0,35377.63888888889,35490.0,0.1522681545705337,0.804474082678227,0.04325776275123935,0.0,0.804474082678227,0.8162893861268398
MG ROEWE 3,ICE,293,17990.0,19490.0,18740.0,18740.0,0.10613397901533494,0.893866020984665,0.0,0.0,0.893866020984665,0.8813013584610888
MINI MINI,BEV,1364,27200.0,46150.0,35600.0,34450.0,0.10642760487144791,0.8639264772214704,0.029645917907081643,0.0,0.10642760487144791,0.10136632635310786
MINI MINI,ICE,1497,27200.0,52900.0,38742.59259259259,40200.0,0.1661365724613536,0.7642948737366088,0.06956855380203758,0.0,0.7642948737366088,0.7410071278685044
MITSUBISHI COLT,ICE,310,21190.0,24190.0,22723.333333333332,22790.0,0.09807617942768755,0.9019238205723125,0.0,0.0,0.9019238205723125,0.900019900661229
NISSAN JUKE,ICE,389,24950.0,31850.0,29320.0,30050.0,0.09487835004165111,0.9030678194927182,0.002053830465630655,0.0,0.9030678194927182,0.9300172387578574
OPEL CORSA,BEV,491,29990.0,33385.0,31703.333333333332,31687.5,0.10097636800816069,0.8837101984310106,0.015313433560828699,0.0,0.10097636800816069,0.09258805524421021
OPEL CORSA,ICE,3516,22890.0,30400.0,26887.5,27035.0,0.1185826632499779,0.8814173367500221,0.0,0.0,0.8814173367500221,0.8833387253947373
PEUGEOT 208,BEV,148,36525.0,41025.0,38600.0,38425.0,0.1613082955014445,0.7911370202228643,0.04755468427569129,0.0,0.1613082955014445,0.16282099891442375
PEUGEOT 208,ICE,767,24130.0,32385.0,28113.333333333332,28015.0,0.10986642280936673,0.8895946961037264,0.0005388810869068225,0.0,0.8895946961037264,0.8264336689870451
RENAULT CLIO,ICE,632,19350.0,23000.0,20668.0,20250.0,0.08097789272738469,0.9190221072726154,0.0,0.0,0.9190221072726154,0.9245083655494242
RENAULT R4,BEV,168,29400.0,36400.0,33150.0,33400.0,0.10783810279632136,0.862996592129219,0.029165305074459642,0.0,0.10783810279632136,0.09758195641040192
RENAULT R5,BEV,552,27900.0,155000.0,47287.5,32150.0,0.10161715931924371,0.8831190839325054,0.015263756748250902,0.0,0.10161715931924371,0.08941823197018794
SEAT IBIZA,ICE,1860,18830.0,32620.0,25900.277777777777,25760.0,0.12308687615526802,0.876913123844732,0.0,0.0,0.876913123844732,0.9175787206776083
SKODA FABIA,ICE,1618,19690.0,30310.0,25285.625,25660.0,0.11903825527350732,0.8809617447264927,0.0,0.0,0.8809617447264927,0.9231444460123135
SUZUKI SWIFT,ICE,674,20000.0,24750.0,22818.75,22975.0,0.10132313508286078,0.8986768649171392,0.0,0.0,0.8986768649171392,0.9120427570330244
TOYOTA YARIS,ICE,2532,51990.0,54490.0,53240.0,53240.0,0.29618324088522385,0.5437087827602309,0.16010797635454516,0.0,0.5437087827602309,0.5250496542538179
VW POLO,ICE,2660,20135.0,35980.0,28312.63157894737,28480.0,0.10489156193309036,0.8945691078170199,0.0005393302498896825,0.0,0.8945691078170199,0.8391680092457035
AUDI A3,PHEV,905,44200.0,47700.0,45870.0,46000.0,0.21094937688323273,0.680794894903096,0.10825572821367124,0.0,0.10825572821367124,0.11222816123849369
AUDI A3,ICE,1996,31300.0,68000.0,45364.516129032265,39200.0,0.16010308448095353,0.7785697028267697,0.061327212692276714,0.0,0.7785697028267697,0.7676826609707631
BMW 1ER,ICE,2124,33600.0,59600.0,43585.71428571429,42925.0,0.18699277376320178,0.7446914952751529,0.06831573096164535,0.0,0.7446914952751529,0.7199813579838878
BMW 2ER,PHEV,56,48500.0,56000.0,52375.0,52250.0,0.2557238037552998,0.5984251968503937,0.14585099939430649,0.0,0.14585099939430649,0.14576611943432538
BMW 2ER,ICE,1351,36200.0,115000.0,49059.466374269,46850.0,0.21398924494119226,0.6698331144618157,0.11617764059699204,0.0,0.6698331144618157,0.6310184918183919
BYD DOLPHIN,BEV,9,22990.0,36640.0,30450.0,30990.0,0.08912135437844232,0.9042496827215712,0.006628962899986446,0.0,0.08912135437844232,0.09993021161503475
CITROEN C4,BEV,17,31900.0,37300.0,34366.666666666664,34100.0,0.10823119761100414,0.8614566879201209,0.030312114468875027,0.0,0.10823119761100414,0.10144760721275262
CITROEN C4,ICE,882,23990.0,30770.0,27764.166666666668,27920.0,0.10981354268891069,0.8901864573110893,0.0,0.0,0.8901864573110893,0.9128192072838274
DACIA SANDERO,ICE,1840,12490.0,19490.0,15990.0,16140.0,0.0816706570896515,0.9183293429103485,0.0,0.0,0.9183293429103485,0.9140790337042687
DS 4,BEV,3,45900.0,51100.0,48633.333333333336,48900.0,0.23961364562697277,0.6366979781798879,0.12368837619313927,0.0,0.23961364562697277,0.2402458787029198
DS 4,ICE,19,38640.0,47640.0,42940.0,42740.0,0.18690177256006596,0.744808798865858,0.06828942857407597,0.0,0.744808798865858,0.7506775030037829
FIAT TIPO,ICE,42,19990.0,20490.0,20240.0,20240.0,0.08097789272738469,0.9190221072726154,0.0,0.0,0.9190221072726154,0.9029453744378624
FORD FOCUS,ICE,1135,32100.0,49850.0,37437.28991596639,36962.5,0.15635990042280792,0.8024360848777018,0.04120401469949026,0.0,0.8024360848777018,0.8575490532475751
HONDA CIVIC,ICE,59,58900.0,65900.0,62400.0,62400.0,0.24448061244480612,0.56512500565125,0.1903943819039438,3.0140000301400004e-05,0.56512500565125,0.5773425102038046
HYUNDAI I 30,ICE,544,27990.0,35150.0,31710.0,31820.0,0.10179444559032286,0.8829060554955654,0.015299498914111694,0.0,0.8829060554955654,0.920255635643728
KIA CEED,ICE,1279,27390.0,33990.0,30034.444444444445,29690.0,0.09478590408154376,0.903137750286768,0.002076345631688229,0.0,0.903137750286768,0.9421679557342253
MAZDA 3,ICE,443,28640.0,70250.0,48401.65064102564,48607.5,0.2361462662868351,0.6419745014710689,0.12187923224209592,0.0,0.6419745014710689,0.6542967829048864
MAZDA MX-5,ICE,143,33190.0,42190.0,37790.0,37890.0,0.15470806470581946,0.8004832622339118,0.04480867306026879,0.0,0.8004832622339118,0.8497343477123195
MERCEDES A-KLASSE,PHEV,125,44274.0,56977.0,50067.5,50161.5,0.2450405536828787,0.6238846556949834,0.13107479062213787,0.0,0.13107479062213787,0.11920149435206336
MERCEDES A-KLASSE,ICE,1229,37640.0,64903.0,52264.01169590643,47368.0,0.21790143834001416,0.6677858995519924,0.1143126621079934,0.0,0.6677858995519924,0.640686768900647
MG ROEWE 4,BEV,476,35640.0,42640.0,39640.0,40640.0,0.1744154085777402,0.7554438008368031,0.07014079058545673,0.0,0.1744154085777402,0.16263937068485962
OPEL ASTRA,PHEV,518,38460.0,48760.0,43350.0,42830.0,0.18699277376320178,0.7446914952751529,0.06831573096164535,0.0,0.06831573096164535,0.06406849180072917
OPEL ASTRA,BEV,89,37990.0,42560.0,40275.0,40275.0,0.1661365724613536,0.7642948737366088,0.06956855380203758,0.0,0.1661365724613536,0.1630584433920788
OPEL ASTRA,ICE,1726,29390.0,38760.0,35075.0,35045.0,0.14522768201697966,0.8264085412914844,0.028363776691535888,0.0,0.8264085412914844,0.8048039164401639
PEUGEOT 308,PHEV,66,41045.0,45745.0,43395.0,43395.0,0.18221942575851507,0.7366687331710973,0.0811118410703876,0.0,0.0811118410703876,0.08913457152953629
PEUGEOT 308,BEV,26,42435.0,49790.0,45713.333333333336,44915.0,0.20187484353123347,0.7062188801008817,0.09190627636788473,0.0,0.20187484353123347,0.19417282653148096
PEUGEOT 308,ICE,333,34110.0,41980.0,37735.0,37115.0,0.15801138065289008,0.8003494060097833,0.04163921333732654,0.0,0.8003494060097833,0.7780622259042163
RENAULT MEGANE,BEV,35,40900.0,44900.0,42900.0,42900.0,0.18699277376320178,0.7446914952751529,0.06831573096164535,0.0,0.18699277376320178,0.18806305798094342
SEAT BORN,BEV,1134,40450.0,52870.0,45975.0,45645.0,0.20383131717913186,0.7002172203288266,0.09595146249204149,0.0,0.20383131717913186,0.1840756823400131
SEAT LEON,PHEV,723,38925.0,44220.0,41653.125,41602.5,0.1864311718980616,0.744632490406376,0.06893633769556233,0.0,0.06893633769556233,0.07682347858696299
SEAT LEON,ICE,2397,28530.0,41120.0,35093.75,34978.75,0.14522768201697966,0.8264085412914844,0.028363776691535888,0.0,0.8264085412914844,0.786208957586048
SKODA OCTAVIA,ICE,2559,27790.0,48570.0,37448.57142857143,37235.0,0.1576834347005423,0.8006611339145719,0.0416554313848858,0.0,0.8006611339145719,0.8594982682872434
SKODA SCALA,ICE,441,24390.0,35860.0,30378.88888888889,30460.0,0.09323729491796719,0.8993942404548027,0.007368464627230203,0.0,0.8993942404548027,0.9310505514987355
SUBARU IMPREZA,ICE,17,35260.0,37870.0,36565.0,36565.0,0.157626711003754,0.7987577250054898,0.04361556399075613,0.0,0.7987577250054898,0.7719515998876156
SUZUKI SWACE,ICE,97,37190.0,37190.0,37190.0,37190.0,0.15890143204754875,0.7995033706968766,0.04159519725557462,0.0,0.7995033706968766,0.7460235981963118
TOYOTA COROLLA,ICE,940,33340.0,48890.0,39631.36363636364,39040.0,0.16239674062879725,0.7753974656142465,0.062205793756956285,0.0,0.7753974656142465,0.8337109444124235
TOYOTA PRIUS,PHEV,20,45990.0,53490.0,49156.666666666664,47990.0,0.2303039860483669,0.6543816847710132,0.11531432918061985,0.0,0.11531432918061985,0.12137752573723809
VW GOLF,PHEV,477,44205.0,48490.0,45993.75,45640.0,0.20383131717913186,0.7002172203288266,0.09595146249204149,0.0,0.09595146249204149,0.10085801802601467
VW GOLF,ICE,4155,29395.0,60235.0,39294.78571428571,38827.5,0.15927413297547394,0.7797161827886994,0.061009684235826665,0.0,0.7797161827886994,0.8161770051578815
VW ID.3,BEV,2350,33330.0,57520.0,44596.6,45327.5,0.20450307927001526,0.6990037101907829,0.09649321053920183,0.0,0.20450307927001526,0.18162671690347276
