Entity,year,ev_sales_share,ev_stock_share,bev_sales,bev_stock,phev_sales,phev_stock,ev_sales,bev_share_ev_cars,phev_share_ev_cars,bev_share_car_sales,phev_share_car_sales,ev_stock,total_cars_sold,non_ev_cars_sold
Australia,2011,0.0061,0.00039,49,49,,,,,,,,,,
Australia,2012,0.029,0.0024,170,220,80,80,250,68,32,0.01972,0.00928,300,862069,861819
Australia,2013,0.033,0.0046,190,410,100,180,290,65.5172414,34.4827586,0.02162069,0.01137931,590,878788,878498
Australia,2014,0.15,0.014,370,780,950,1100,1320,28.030303,71.969697,0.04204545,0.10795455,1880,880000,878680
Australia,2015,0.19,0.027,760,1500,1000,2100,1760,43.1818182,56.8181818,0.08204545,0.10795455,3600,926316,924556
Australia,2016,0.15,0.037,670,2200,700,2800,1370,48.9051095,51.0948905,0.07335766,0.07664234,5000,913333,911963
Australia,2017,0.25,0.052,1200,3400,1100,3900,2300,52.173913,47.826087,0.13043478,0.11956522,7300,920000,917700
Australia,2018,0.41,0.077,1800,5200,1800,5700,3600,50,50,0.205,0.205,10900,878049,874449
Australia,2019,1.2,0.14,6300,12000,2900,8600,9200,68.4782609,31.5217391,0.82173913,0.37826087,20600,766667,757467
Australia,2020,1.1,0.18,5200,17000,1700,10000,6900,75.3623188,24.6376812,0.82898551,0.27101449,27000,627273,620373
Australia,2021,2.8,0.32,17000,34000,3400,14000,20400,83.3333333,16.6666667,2.33333333,0.46666667,48000,728571,708171
Australia,2022,5,0.59,33000,67000,5900,21000,38900,84.8329049,15.1670951,4.24164524,0.75835476,88000,778000,739100
Australia,2023,12,1.2,87000,150000,11000,31000,98000,88.7755102,11.2244898,10.6530612,1.34693878,181000,816667,718667
Australia,2024,13,1.9,91000,250000,21000,52000,112000,81.25,18.75,10.5625,2.4375,302000,861538,749538
Austria,2010,,0.0079,,350,,,,,,,,,,
Austria,2011,,0.022,,990,,,,,,,,,,
Austria,2012,,0.033,,1400,,140,,,,,,1540,,
Austria,2013,0.2,0.053,650,2100,,410,,,,,,2510,,
Austria,2014,0.57,0.089,1700,3400,,780,,,,,,4180,,
Austria,2015,0.9,0.14,1700,5000,1100,1500,2800,60.7142857,39.2857143,0.54642857,0.35357143,6500,311111,308311
Austria,2016,1.5,0.24,3800,9100,1200,2300,5000,76,24,1.14,0.36,11400,333333,328333
Austria,2017,2,0.38,5400,15000,1700,3900,7100,76.056338,23.943662,1.52112676,0.47887324,18900,355000,347900
Austria,2018,2.6,0.53,6800,21000,2300,5700,9100,74.7252747,25.2747253,1.94285714,0.65714286,26700,350000,340900
Austria,2019,3.5,0.75,9300,30000,2200,8000,11500,80.8695652,19.1304348,2.83043478,0.66956522,38000,328571,317071
Austria,2020,9.5,1.2,16000,45000,7600,15000,23600,67.7966102,32.2033898,6.44067797,3.05932203,60000,248421,224821
Austria,2021,20,2.1,33000,77000,15000,29000,48000,68.75,31.25,13.75,6.25,106000,240000,192000
Austria,2022,22,3,34000,110000,13000,42000,47000,72.3404255,27.6595745,15.9148936,6.08510638,152000,213636,166636
